k,v
0,ハイスホールソー
1,コンクリートドリル(ＳＤＳｐｌｕｓシャンク)
2,コンクリートドリル(六角軸)
3,コンクリートドリル(ストレートシャンク)
4,六角軸タップ
5,ダイヤモンドコアドリル
6,コンクリートドリル(６．３５六角軸)
7,コンクリートドリル(ＳＤＳｍａｘシャンク)
8,ステップドリル(六角軸タイプ)
9,超硬コーティングドリル
10,インサートねじ
11,マシニングセンター用ねじ切り工具
12,旋盤用ねじ切り工具
13,ステップドリル(ストレートシャンクタイプ)
14,スポットカッター
15,スパイラルタップ
16,ポイントタップ
17,ロールタップ
18,超硬ドリル
19,ねじ切り工具用チップ
20,木工ドリル用カッター
21,ダイスハンドル
22,替刃式ホールソー
23,木工用ビット
24,木工用ドリル
25,ドリルセット
26,超硬チップ付ホールソー
27,六角軸鉄工ドリル
28,木工用下穴ドリルセット
29,木工用下穴ドリル
30,家具・建具用ドリル
31,自在錐
32,替刃式コアドリル
33,インサートねじ専用工具
34,折れ込みボルト除去工具
35,タップホルダ
36,ダイスホルダ
37,磁気ボール盤カッター
38,センタードリル
39,細軸ドリル
40,木工ドリル用補助具
41,ハイスドリル
42,ハイスコーティングドリル
43,管用タップ(ＧＰＦねじ)
44,管用タップ(ＰＴねじ)
45,管用タップ(ＲＣＰＴねじ)
46,管用タップ(ＲＰＰＳねじ)
47,ハイスドリル(段つきタイプ)
48,電気ドリル用ドリル(鉄工用)
49,コバルトハイスドリル
50,ドリルケース
51,ハイスホールソーセット
52,ダイス
53,ステップドリル用アタッチメント
54,コアドリル
55,ハンドタップ
56,折れ込みタップ除去工具
57,テーパーシャンクドリル
58,ねじ山修正工具
59,ハンドタップセット
60,シャーシーパンチ
61,外径・内径ねじ山修正工具
62,管用タップ(ＰＦねじ)
63,管用タップ(ＰＳねじ)
64,管用タップ(ＮＰＴねじ)
65,管用タップ(ＮＰＴＦねじ)
66,コンクリートドリル
67,サラエナットダイス
68,超硬ドリル(航空機用)
69,タップハンドル
70,タップガイド
